# PHARMACY BATCH IMPORT
# Created: 2026-06-14
# Format:
# DrugName|Quantity|Price|ExpiryDate
Acetylcysteine|180|6.50|2027-10-31
Albendazole|250|3.50|2027-09-30
Allopurinol|180|6.00|2027-09-15
Amlodipine|400|4.00|2028-02-15
Ambroxol|200|4.00|2027-11-30
Amikacin|100|12.00|2027-11-30
Amitriptyline|150|5.00|2027-12-31
Amoxicillin|300|8.50|2027-10-15
Apixaban|80|65.00|2027-12-31
ArtemetherLumefantrine|180|9.50|2027-11-30
ArtificialTears|250|5.00|2028-01-31
Aspirin|400|2.00|2028-02-01
Atenolol|300|3.00|2027-10-01
Atorvastatin|300|12.00|2028-01-15
Augmentin|250|15.00|2027-08-20
Azithromycin|200|12.50|2027-11-30
Beclomethasone|120|17.50|2027-12-15
Bisacodyl|200|3.00|2027-10-15
Bisoprolol|250|6.50|2027-11-01
Brimonidine|100|22.00|2027-12-15
Bromhexine|180|3.50|2027-12-31
Budesonide|120|20.00|2027-11-30
CalciumCarbonate|250|3.50|2027-12-01
Carbamazepine|180|7.50|2027-10-01
Carbimazole|150|7.00|2027-11-25
Cefalexin|250|9.00|2027-11-20
Ceftriaxone|150|20.00|2027-10-01
Cefuroxime|200|15.00|2027-12-01
Cetirizine|350|2.50|2028-01-01
Chlorpheniramine|250|2.00|2027-10-15
Ciprofloxacin|180|10.00|2027-09-25
Clopidogrel|220|10.50|2027-10-10
Clotrimazole|200|4.50|2027-11-01
Codeine|100|8.50|2027-12-15
Colchicine|120|5.50|2027-10-20
Diazepam|100|8.00|2027-10-15
Diclofenac|300|5.50|2027-10-10
Domperidone|180|4.50|2027-10-31
Doxycycline|220|6.50|2027-10-15
Duloxetine|120|14.00|2027-11-15
Enalapril|300|4.50|2027-11-15
Esomeprazole|150|9.00|2027-09-30
FerrousSulphate|300|2.50|2027-10-31
Fluconazole|150|8.50|2027-10-31
Fluoxetine|180|8.50|2027-10-20
FolicAcid|350|1.50|2028-01-15
Furosemide|200|3.00|2027-08-15
Gabapentin|180|12.50|2027-11-30
Gentamicin|120|8.00|2027-10-31
Glibenclamide|300|2.50|2027-11-20
Gliclazide|250|5.50|2027-12-10
Guaifenesin|220|4.50|2027-10-15
Haloperidol|120|6.00|2027-09-30
Hydrochlorothiazide|220|3.50|2027-10-31
Hydrocortisone|100|8.50|2027-10-30
Hydroxychloroquine|180|12.00|2027-12-31
HyoscineButylbromide|120|5.50|2027-12-15
Ibuprofen|450|3.00|2027-12-01
Imipenem|50|110.00|2027-09-15
InsulinActrapid|80|45.00|2027-08-31
InsulinMixtard|80|50.00|2027-09-30
Ketoconazole|100|7.00|2027-09-30
Lactulose|150|6.50|2027-12-01
Latanoprost|80|35.00|2027-11-30
Levetiracetam|120|18.00|2027-11-01
Levothyroxine|200|5.00|2027-10-25
Linezolid|70|95.00|2027-12-15
Lisinopril|250|5.50|2027-12-20
Loperamide|200|2.50|2027-12-31
Loratadine|300|3.00|2027-12-20
Lorazepam|80|12.00|2027-11-15
Losartan|350|8.00|2027-12-01
MagnesiumOxide|180|4.50|2027-11-01
Mebendazole|220|3.00|2027-10-30
Meloxicam|220|5.50|2027-12-31
Meropenem|50|120.00|2027-08-15
Metformin|500|3.50|2028-01-31
Methotrexate|80|18.00|2027-12-01
Metronidazole|220|4.50|2028-01-15
Miconazole|180|4.50|2027-10-31
Mometasone|100|18.00|2027-10-31
Montelukast|120|11.00|2027-12-31
Multivitamin|220|5.50|2028-01-01
Naproxen|250|4.50|2027-10-20
Nystatin|150|5.00|2027-12-15
Olanzapine|100|15.00|2027-12-15
Omeprazole|250|7.50|2027-11-15
Ondansetron|150|8.50|2027-11-30
ORS|500|1.50|2028-01-31
Pantoprazole|200|8.00|2027-12-15
Paracetamol|500|2.50|2027-12-31
Phenylephrine|150|5.50|2027-11-15
Phenytoin|150|6.50|2027-09-15
PovidoneIodine|200|3.50|2027-12-31
Prednisolone|200|5.00|2027-09-15
Pregabalin|150|16.00|2027-10-31
Pseudoephedrine|120|6.00|2027-12-01
Quinine|120|8.00|2027-09-15
Ranitidine|180|4.00|2027-08-31
Risperidone|120|12.00|2027-11-15
Rivaroxaban|80|60.00|2027-11-30
Rosuvastatin|180|15.00|2027-11-15
Salbutamol|150|6.50|2027-11-10
Sertraline|200|10.00|2027-11-20
Simvastatin|250|8.50|2027-12-15
SodiumValproate|150|10.00|2027-12-01
Spironolactone|180|4.50|2027-09-30
Sulfasalazine|150|14.00|2027-11-15
Tetracycline|180|5.50|2027-09-20
Terbinafine|120|11.00|2027-11-30
Timolol|150|9.50|2027-10-31
Tramadol|120|9.00|2027-11-20
Valsartan|250|10.00|2027-10-20
Vancomycin|60|75.00|2027-12-31
Venlafaxine|100|13.50|2027-12-15
VitaminBComplex|300|4.00|2027-11-30
VitaminC|400|2.00|2028-02-28
VitaminD3|250|5.50|2027-12-15
Warfarin|120|7.50|2027-09-01
ZincSulphate|300|2.50|2027-12-31
