DrugID,GenericName,UnitCost,ObservedQuantity,ObservationDays,AnnualizedQuantity,ObservedConsumptionValue,AnnualizedConsumptionValue,ConsumptionValuePercent,CumulativeValuePercent,ABCClass,ManagementPriority,DataSource,DataStatus,OperationalUse
D0018,Carbamazepine,64.47,9499.0,1348,2572.06,612400.53,165820.62,11.25,11.25,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0021,Cetirizine,44.94,10448.0,1348,2829.02,469533.12,127136.19,8.62,19.87,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0016,Budesonide,38.64,9082.0,1348,2459.15,350928.48,95021.44,6.44,26.31,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0048,VitaminD,35.18,9608.0,1348,2601.57,338009.44,91523.33,6.21,32.52,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0043,Salbutamol,30.28,10650.0,1348,2883.72,322482.0,87318.94,5.92,38.44,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0005,Amikacin,40.16,7126.0,1348,1929.52,286180.16,77489.44,5.25,43.69,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0011,Aspirin,41.44,6157.0,1348,1667.14,255146.08,69086.29,4.69,48.38,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0003,Allopurinol,71.4,3370.0,1348,912.5,240618.0,65152.5,4.42,52.8,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0007,Amlodipine,62.48,3704.0,1348,1002.94,231425.92,62663.55,4.25,57.05,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0046,Tramadol,39.85,4939.0,1348,1337.34,196819.15,53293.02,3.61,60.66,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0027,Enalapril,18.01,10847.0,1348,2937.06,195354.47,52896.43,3.59,64.25,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0042,Prednisolone,17.17,11215.0,1348,3036.7,192561.55,52140.18,3.54,67.78,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0032,Gabapentin,46.34,3789.0,1348,1025.95,175582.26,47542.67,3.22,71.01,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0049,Warfarin,67.45,2114.0,1348,572.41,142589.3,38609.12,2.62,73.63,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0009,Apixaban,18.02,7903.0,1348,2139.91,142412.06,38561.13,2.62,76.24,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0006,Amitriptyline,48.96,2543.0,1348,688.57,124505.28,33712.48,2.29,78.53,A,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0041,Paracetamol,77.08,1331.0,1348,360.4,102593.48,27779.39,1.88,80.41,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0001,Acetylcysteine,9.06,10076.0,1348,2728.29,91288.56,24718.34,1.68,82.09,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0050,Zinc,18.95,4116.0,1348,1114.5,77998.2,21119.69,1.43,83.52,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0029,Fluconazole,10.85,6235.0,1348,1688.26,67649.75,18317.63,1.24,84.76,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0035,Ibuprofen,9.66,6586.0,1348,1783.3,63620.76,17226.69,1.17,85.93,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0034,Hydrochlorothiazide,28.69,2112.0,1348,571.87,60593.28,16406.93,1.11,87.04,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0024,Dexamethasone,21.32,2588.0,1348,700.76,55176.16,14940.13,1.01,88.06,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0039,Montelukast,47.42,1162.0,1348,314.64,55102.04,14920.06,1.01,89.07,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0008,Amoxicillin,49.74,926.0,1348,250.73,46059.24,12471.53,0.85,89.91,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0026,Doxycycline,69.33,637.0,1348,172.48,44163.21,11958.14,0.81,90.72,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0010,ArtemetherLumefantrine,39.17,1123.0,1348,304.08,43987.91,11910.67,0.81,91.53,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0017,Captopril,38.03,1098.0,1348,297.31,41756.94,11306.59,0.77,92.3,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0037,Losartan,37.45,1094.0,1348,296.22,40970.3,11093.59,0.75,93.05,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0033,Gliclazide,50.94,726.0,1348,196.58,36982.44,10013.79,0.68,93.73,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0047,Valproate,27.69,1132.0,1348,306.51,31345.08,8487.35,0.58,94.31,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0019,Cefixime,69.43,449.0,1348,121.58,31174.07,8441.05,0.57,94.88,B,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0031,Furosemide,59.64,504.0,1348,136.47,30058.56,8139.0,0.55,95.43,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0030,FolicAcid,24.48,1221.0,1348,330.61,29890.08,8093.38,0.55,95.98,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0022,Ciprofloxacin,30.61,763.0,1348,206.6,23355.43,6323.99,0.43,96.41,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0015,Bisoprolol,61.56,337.0,1348,91.25,20745.72,5617.35,0.38,96.79,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0004,Ambroxol,71.51,288.0,1348,77.98,20594.88,5576.51,0.38,97.17,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0040,Omeprazole,39.04,493.0,1348,133.49,19246.72,5211.46,0.35,97.52,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0028,Esomeprazole,38.95,464.0,1348,125.64,18072.8,4893.6,0.33,97.85,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0023,Clopidogrel,48.5,357.0,1348,96.67,17314.5,4688.27,0.32,98.17,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0014,Azithromycin,17.01,895.0,1348,242.34,15223.95,4122.21,0.28,98.45,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0044,Simvastatin,44.28,337.0,1348,91.25,14922.36,4040.55,0.27,98.72,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0045,Spironolactone,45.28,283.0,1348,76.63,12814.24,3469.73,0.24,98.96,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0020,Ceftriaxone,78.31,145.0,1348,39.26,11354.95,3074.6,0.21,99.17,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0038,Metformin,2.97,3593.0,1348,972.88,10671.21,2889.46,0.2,99.36,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0013,Atorvastatin,23.69,382.0,1348,103.43,9049.58,2450.37,0.17,99.53,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0002,Albendazole,56.96,157.0,1348,42.51,8942.72,2421.43,0.16,99.69,C,LOW,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
