DrugID,GenericName,ObservationDays,TrainingDays,ValidationDays,MeanDailyDemand,MA7,MA30,NaiveForecast,MovingAverageForecast,WeightedForecast,TrendForecast,SelectedModel,SelectedForecast,SelectedMAE,SelectedRMSE,SelectedBias,DataSource,DataStatus,OperationalUse
D0001,Acetylcysteine,1348,1078,270,7.2338,9.0,7.3,5.0,9.0,9.8214,9.7473,MOVING_AVERAGE,9.0,2.9698,4.1041,0.0577,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0002,Albendazole,1339,1071,268,0.1204,0.2857,0.2,0.0,0.2857,0.3214,0.3956,NAIVE,0.0,0.1903,0.4362,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0003,Allopurinol,1348,1078,270,2.4573,1.8571,2.0667,1.0,1.8571,1.8214,2.011,MOVING_AVERAGE,1.8571,0.7804,0.9918,-0.0016,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0004,Ambroxol,1338,1070,268,0.2056,0.1429,0.2,0.0,0.1429,0.0357,0.0879,NAIVE,0.0,0.3769,0.6139,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0005,Amikacin,1348,1078,270,5.2551,4.5714,4.4,4.0,4.5714,4.4286,4.6044,MOVING_AVERAGE,4.5714,1.2497,1.5795,0.0011,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0006,Amitriptyline,1348,1078,270,1.8636,2.0,1.5333,2.0,2.0,2.0714,2.5165,MOVING_AVERAGE,2.0,0.7307,0.9437,0.0175,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0007,Amlodipine,1348,1078,270,2.6967,2.5714,2.1333,3.0,2.5714,2.6786,2.9011,MOVING_AVERAGE,2.5714,0.7048,0.8909,0.0032,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0008,Amoxicillin,1346,1076,270,0.6784,0.4286,0.4667,1.0,0.4286,0.5,0.3407,NAIVE,1.0,0.4,0.6325,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0009,Apixaban,1348,1078,270,5.8108,4.5714,4.8,7.0,4.5714,5.0357,5.3516,MOVING_AVERAGE,4.5714,2.1169,2.6648,0.0206,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0010,ArtemetherLumefantrine,1348,1078,270,0.8256,1.0,0.7,1.0,1.0,1.0,1.2418,MOVING_AVERAGE,1.0,0.3646,0.5,0.0037,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0011,Aspirin,1348,1078,270,4.487,4.2857,4.1333,4.0,4.2857,4.5714,4.5275,MOVING_AVERAGE,4.2857,0.8249,1.0117,0.0206,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0012,Atenolol,1336,1068,268,0.2912,0.0,0.1,0.0,0.0,0.0,0.0,WEIGHTED_MOVING_AVERAGE,0.0,0.3622,0.4662,-0.0083,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0013,Atorvastatin,1346,1076,270,0.2807,0.2857,0.1333,0.0,0.2857,0.2857,0.3736,TREND,0.3736,0.4018,0.5059,0.0164,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0014,Azithromycin,1346,1076,270,0.6478,1.0,0.6667,1.0,1.0,1.0,1.0659,MOVING_AVERAGE,1.0,0.5217,0.6477,0.0063,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0015,Bisoprolol,1347,1077,270,0.2303,0.7143,0.2333,1.0,0.7143,0.6429,0.8571,MOVING_AVERAGE,0.7143,0.4561,0.5075,0.0042,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0016,Budesonide,1348,1078,270,6.603,5.8571,5.8,6.0,5.8571,6.2857,6.0769,MOVING_AVERAGE,5.8571,1.2217,1.5433,0.0175,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0017,Captopril,1348,1078,270,0.8015,1.0,0.8,1.0,1.0,1.0357,1.1209,MOVING_AVERAGE,1.0,0.4005,0.5369,0.0069,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0018,Carbamazepine,1348,1078,270,7.0622,9.0,6.2333,19.0,9.0,10.5,11.4396,MOVING_AVERAGE,9.0,2.1825,2.7914,0.0735,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0019,Cefixime,1345,1076,269,0.3448,0.2857,0.3,1.0,0.2857,0.4643,0.5934,NAIVE,1.0,0.4015,0.6336,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0020,Ceftriaxone,1328,1062,266,0.1055,0.0,0.0333,0.0,0.0,0.0,0.0,MOVING_AVERAGE,0.0,0.2111,0.347,-0.007,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0021,Cetirizine,1348,1078,270,7.5362,7.4286,7.0,6.0,7.4286,7.1071,7.1868,MOVING_AVERAGE,7.4286,1.7053,2.1925,0.0132,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0022,Ciprofloxacin,1348,1078,270,0.5594,0.5714,0.5,1.0,0.5714,0.4643,0.5055,MOVING_AVERAGE,0.5714,0.4841,0.5246,-0.0005,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0023,Clopidogrel,1345,1076,269,0.2472,0.0,0.1333,0.0,0.0,0.0,0.022,NAIVE,0.0,0.4647,0.6817,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0024,Dexamethasone,1348,1078,270,1.872,1.1429,1.5333,1.0,1.1429,1.0357,0.5824,MOVING_AVERAGE,1.1429,0.7693,0.9791,-0.0053,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
