DrugID,AnnualDemand,UnitCost,OrderingCost,HoldingRate,HoldingCostPerUnit,EOQ,DataSource,DataStatus,OperationalUse
D0001,3285.0,9.06,25.0,0.25,2.265,269.29,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0002,0.0,56.96,25.0,0.25,14.24,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0003,677.84,71.4,25.0,0.25,17.85,43.57,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0004,0.0,71.51,25.0,0.25,17.8775,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0005,1668.56,40.16,25.0,0.25,10.04,91.16,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0006,730.0,48.96,25.0,0.25,12.24,54.61,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0007,938.56,62.48,25.0,0.25,15.62,54.81,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0008,365.0,49.74,25.0,0.25,12.435,38.31,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0009,1668.56,18.02,25.0,0.25,4.505,136.08,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0010,365.0,39.17,25.0,0.25,9.7925,43.17,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0011,1564.28,41.44,25.0,0.25,10.36,86.89,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0012,0.0,22.78,25.0,0.25,5.695,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0013,136.36,23.69,25.0,0.25,5.9225,33.93,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0014,365.0,17.01,25.0,0.25,4.2525,65.51,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0015,260.72,61.56,25.0,0.25,15.39,29.1,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0016,2137.84,38.64,25.0,0.25,9.66,105.19,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0017,365.0,38.03,25.0,0.25,9.5075,43.81,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0018,3285.0,64.47,25.0,0.25,16.1175,100.95,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0019,365.0,69.43,25.0,0.25,17.3575,32.43,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0020,0.0,78.31,25.0,0.25,19.5775,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0021,2711.44,44.94,25.0,0.25,11.235,109.85,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0022,208.56,30.61,25.0,0.25,7.6525,36.91,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0023,0.0,48.5,25.0,0.25,12.125,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0024,417.16,21.32,25.0,0.25,5.33,62.56,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0025,0.0,2.68,25.0,0.25,0.67,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0026,284.77,69.33,25.0,0.25,17.3325,28.66,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0027,2867.84,18.01,25.0,0.25,4.5025,178.46,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0028,0.0,38.95,25.0,0.25,9.7375,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0029,1460.0,10.85,25.0,0.25,2.7125,164.05,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0030,260.72,24.48,25.0,0.25,6.12,46.15,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0031,156.44,59.64,25.0,0.25,14.91,22.9,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0032,834.28,46.34,25.0,0.25,11.585,60.01,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0033,156.44,50.94,25.0,0.25,12.735,24.78,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0034,677.84,28.69,25.0,0.25,7.1725,68.74,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0035,1407.84,9.66,25.0,0.25,2.415,170.73,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0036,0.0,40.86,25.0,0.25,10.215,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0037,208.56,37.45,25.0,0.25,9.3625,33.37,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0038,925.53,2.97,25.0,0.25,0.7425,249.65,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0039,312.84,47.42,25.0,0.25,11.855,36.32,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0040,365.0,39.04,25.0,0.25,9.76,43.24,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0041,417.16,77.08,25.0,0.25,19.27,32.9,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0042,2711.44,17.17,25.0,0.25,4.2925,177.72,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0043,2763.56,30.28,25.0,0.25,7.57,135.11,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0044,0.0,44.28,25.0,0.25,11.07,0.0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0045,104.28,45.28,25.0,0.25,11.32,21.46,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0046,1199.28,39.85,25.0,0.25,9.9625,77.58,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0047,260.72,27.69,25.0,0.25,6.9225,43.4,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0048,2398.56,35.18,25.0,0.25,8.795,116.77,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0049,417.16,67.45,25.0,0.25,16.8625,35.17,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0050,834.28,18.95,25.0,0.25,4.7375,93.84,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
