BatchID,DrugID,Quantity,ExpiryDate,DaysToExpiry,ExpiryRisk,DataSource,DataStatus,OperationalUse
B000001,D0001,444.0,2024-09-03,-737,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000002,D0002,157.0,2024-01-07,-977,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000003,D0003,132.0,2024-11-17,-662,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000004,D0004,472.0,2024-01-03,-981,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000005,D0005,434.0,2025-06-05,-462,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000006,D0006,111.0,2025-05-03,-495,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000007,D0007,177.0,2023-09-23,-1083,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000008,D0008,312.0,2023-11-29,-1016,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000009,D0009,398.0,2024-12-05,-644,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000010,D0010,302.0,2025-02-17,-570,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000011,D0011,293.0,2024-06-26,-806,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000012,D0012,308.0,2024-01-06,-978,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000013,D0013,394.0,2024-07-01,-801,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000014,D0014,219.0,2024-09-08,-732,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000015,D0015,492.0,2024-04-22,-871,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000016,D0016,263.0,2024-07-25,-777,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000017,D0017,298.0,2025-01-08,-610,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000018,D0018,337.0,2025-04-09,-519,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000019,D0019,320.0,2024-11-20,-659,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000020,D0020,125.0,2024-12-27,-622,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000021,D0021,433.0,2025-01-23,-595,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000022,D0022,62.0,2024-03-15,-909,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000023,D0023,391.0,2025-02-16,-571,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000024,D0024,455.0,2024-05-25,-838,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000025,D0025,234.0,2024-02-01,-952,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000026,D0026,386.0,2024-03-31,-893,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000027,D0027,378.0,2024-04-03,-890,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000028,D0028,436.0,2024-03-30,-894,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000029,D0029,403.0,2024-11-06,-673,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
B000030,D0030,393.0,2023-10-23,-1053,EXPIRED,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
