DrugID,Method,Observations,MAE,RMSE,Bias,DataSource,DataStatus
D0001,NAIVE,270,3.8741,5.3597,-0.0148,SIMULATED_REEM_V2,DEVELOPMENT
D0001,MOVING_AVERAGE,270,2.9698,4.1041,0.0577,SIMULATED_REEM_V2,DEVELOPMENT
D0001,WEIGHTED_MOVING_AVERAGE,270,2.9993,4.169,0.0459,SIMULATED_REEM_V2,DEVELOPMENT
D0001,TREND,270,3.2256,4.4701,0.0404,SIMULATED_REEM_V2,DEVELOPMENT
D0002,NAIVE,268,0.1903,0.4362,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0002,MOVING_AVERAGE,268,0.1919,0.3307,0.0011,SIMULATED_REEM_V2,DEVELOPMENT
D0002,WEIGHTED_MOVING_AVERAGE,268,0.1912,0.336,-0.0001,SIMULATED_REEM_V2,DEVELOPMENT
D0002,TREND,268,0.2049,0.3466,0.017,SIMULATED_REEM_V2,DEVELOPMENT
D0003,NAIVE,270,0.9889,1.3485,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0003,MOVING_AVERAGE,270,0.7804,0.9918,-0.0016,SIMULATED_REEM_V2,DEVELOPMENT
D0003,WEIGHTED_MOVING_AVERAGE,270,0.796,1.016,-0.0019,SIMULATED_REEM_V2,DEVELOPMENT
D0003,TREND,270,0.8683,1.0906,-0.0041,SIMULATED_REEM_V2,DEVELOPMENT
D0004,NAIVE,268,0.3769,0.6139,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0004,MOVING_AVERAGE,268,0.3785,0.4655,-0.0043,SIMULATED_REEM_V2,DEVELOPMENT
D0004,WEIGHTED_MOVING_AVERAGE,268,0.3806,0.475,-0.004,SIMULATED_REEM_V2,DEVELOPMENT
D0004,TREND,268,0.388,0.4898,0.0121,SIMULATED_REEM_V2,DEVELOPMENT
D0005,NAIVE,270,1.6259,2.1248,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0005,MOVING_AVERAGE,270,1.2497,1.5795,0.0011,SIMULATED_REEM_V2,DEVELOPMENT
D0005,WEIGHTED_MOVING_AVERAGE,270,1.2647,1.6235,-0.002,SIMULATED_REEM_V2,DEVELOPMENT
D0005,TREND,270,1.3055,1.6671,-0.0079,SIMULATED_REEM_V2,DEVELOPMENT
D0006,NAIVE,270,0.9741,1.2924,0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0006,MOVING_AVERAGE,270,0.7307,0.9437,0.0175,SIMULATED_REEM_V2,DEVELOPMENT
D0006,WEIGHTED_MOVING_AVERAGE,270,0.7586,0.9753,0.0139,SIMULATED_REEM_V2,DEVELOPMENT
D0006,TREND,270,0.8081,1.0286,0.0159,SIMULATED_REEM_V2,DEVELOPMENT
D0007,NAIVE,270,0.9074,1.2095,0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0007,MOVING_AVERAGE,270,0.7048,0.8909,0.0032,SIMULATED_REEM_V2,DEVELOPMENT
D0007,WEIGHTED_MOVING_AVERAGE,270,0.7265,0.9159,0.0024,SIMULATED_REEM_V2,DEVELOPMENT
D0007,TREND,270,0.7813,0.9835,0.0015,SIMULATED_REEM_V2,DEVELOPMENT
D0008,NAIVE,270,0.4,0.6325,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0008,MOVING_AVERAGE,270,0.4101,0.4899,-0.0069,SIMULATED_REEM_V2,DEVELOPMENT
D0008,WEIGHTED_MOVING_AVERAGE,270,0.4102,0.4958,-0.0049,SIMULATED_REEM_V2,DEVELOPMENT
D0008,TREND,270,0.4335,0.5247,-0.0057,SIMULATED_REEM_V2,DEVELOPMENT
D0009,NAIVE,270,2.8074,3.587,0.0148,SIMULATED_REEM_V2,DEVELOPMENT
D0009,MOVING_AVERAGE,270,2.1169,2.6648,0.0206,SIMULATED_REEM_V2,DEVELOPMENT
D0009,WEIGHTED_MOVING_AVERAGE,270,2.1451,2.6954,0.0202,SIMULATED_REEM_V2,DEVELOPMENT
D0009,TREND,270,2.2512,2.84,0.0233,SIMULATED_REEM_V2,DEVELOPMENT
D0010,NAIVE,270,0.4148,0.6498,0.0,SIMULATED_REEM_V2,DEVELOPMENT
D0010,MOVING_AVERAGE,270,0.3646,0.5,0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0010,WEIGHTED_MOVING_AVERAGE,270,0.3754,0.5078,0.0024,SIMULATED_REEM_V2,DEVELOPMENT
D0010,TREND,270,0.4171,0.5408,0.0018,SIMULATED_REEM_V2,DEVELOPMENT
D0011,NAIVE,270,1.0407,1.3676,0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0011,MOVING_AVERAGE,270,0.8249,1.0117,0.0206,SIMULATED_REEM_V2,DEVELOPMENT
D0011,WEIGHTED_MOVING_AVERAGE,270,0.8563,1.0475,0.0161,SIMULATED_REEM_V2,DEVELOPMENT
D0011,TREND,270,0.914,1.1171,0.007,SIMULATED_REEM_V2,DEVELOPMENT
D0012,NAIVE,268,0.3843,0.6199,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0012,MOVING_AVERAGE,268,0.3715,0.469,-0.0101,SIMULATED_REEM_V2,DEVELOPMENT
D0012,WEIGHTED_MOVING_AVERAGE,268,0.3622,0.4662,-0.0083,SIMULATED_REEM_V2,DEVELOPMENT
D0012,TREND,268,0.3683,0.4937,0.0246,SIMULATED_REEM_V2,DEVELOPMENT
D0013,NAIVE,270,0.4037,0.6354,-0.0037,SIMULATED_REEM_V2,DEVELOPMENT
D0013,MOVING_AVERAGE,270,0.4085,0.4858,-0.0,SIMULATED_REEM_V2,DEVELOPMENT
