DrugID,GenericName,SelectedModel,ForecastUnitsPerDay,MeanDailyDemand,ValidationMAE,LeadTimeDays,LeadTimeStatus,DemandDuringLeadTime,SafetyStock,ReorderPoint,CurrentStock,InventoryDecision,DataSource,DataStatus,OperationalUse
D0027,Enalapril,MOVING_AVERAGE,7.8571,7.8571,1.9397,9.52,OBSERVED,74.8,9.87,84.67,11007.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0001,Acetylcysteine,MOVING_AVERAGE,9.0,7.2338,2.9698,7.68,OBSERVED,69.12,13.58,82.7,10330.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0018,Carbamazepine,MOVING_AVERAGE,9.0,7.0622,2.1825,7.78,OBSERVED,70.04,10.05,80.09,9670.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0021,Cetirizine,MOVING_AVERAGE,7.4286,7.5362,1.7053,9.44,OBSERVED,70.13,8.65,78.77,10942.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0042,Prednisolone,MOVING_AVERAGE,7.4286,8.1373,2.6032,6.92,OBSERVED,51.41,11.3,62.71,11619.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0043,Salbutamol,MOVING_AVERAGE,7.5714,7.6679,2.3677,6.42,OBSERVED,48.58,9.9,58.48,11123.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0048,VitaminD,MOVING_AVERAGE,6.5714,7.0297,1.8291,6.58,OBSERVED,43.26,7.74,51.01,9951.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0016,Budesonide,MOVING_AVERAGE,5.8571,6.603,1.2217,7.42,OBSERVED,43.44,5.49,48.93,9398.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0009,Apixaban,MOVING_AVERAGE,4.5714,5.8108,2.1169,7.52,OBSERVED,34.38,9.58,43.96,8244.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0011,Aspirin,MOVING_AVERAGE,4.2857,4.487,0.8249,8.18,OBSERVED,35.06,3.89,38.96,6333.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0005,Amikacin,MOVING_AVERAGE,4.5714,5.2551,1.2497,7.05,OBSERVED,32.21,5.47,37.68,7332.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0035,Ibuprofen,MOVING_AVERAGE,3.8571,4.8896,1.4106,7.91,OBSERVED,30.51,6.55,37.05,6839.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0029,Fluconazole,MOVING_AVERAGE,4.0,4.4675,1.1138,7.58,OBSERVED,30.33,5.06,35.39,6571.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0046,Tramadol,MOVING_AVERAGE,3.2857,3.5983,0.6677,8.73,OBSERVED,28.68,3.25,31.93,5059.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0050,Zinc,MOVING_AVERAGE,2.2857,3.0278,0.8841,9.29,OBSERVED,21.22,4.45,25.67,4359.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0032,Gabapentin,MOVING_AVERAGE,2.2857,2.7718,0.7217,8.0,OBSERVED,18.29,3.37,21.65,3904.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0007,Amlodipine,MOVING_AVERAGE,2.5714,2.6967,0.7048,6.61,OBSERVED,16.99,2.99,19.98,3875.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0003,Allopurinol,MOVING_AVERAGE,1.8571,2.4573,0.7804,7.68,OBSERVED,14.26,3.57,17.83,3522.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0038,Metformin,WEIGHTED_MOVING_AVERAGE,2.5357,2.6271,0.6194,5.9,OBSERVED,14.97,2.48,17.46,3695.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0034,Hydrochlorothiazide,MOVING_AVERAGE,1.8571,1.5529,0.6085,7.63,OBSERVED,14.17,2.77,16.95,2150.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0006,Amitriptyline,MOVING_AVERAGE,2.0,1.8636,0.7307,6.67,OBSERVED,13.33,3.11,16.45,2637.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0040,Omeprazole,NAIVE,1.0,0.3622,0.461,9.75,OBSERVED,9.75,2.38,12.13,526.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0019,Cefixime,NAIVE,1.0,0.3448,0.4015,9.67,OBSERVED,9.67,2.06,11.73,470.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0024,Dexamethasone,MOVING_AVERAGE,1.1429,1.872,0.7693,7.24,OBSERVED,8.27,3.42,11.69,2667.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0017,Captopril,MOVING_AVERAGE,1.0,0.8015,0.4005,8.24,OBSERVED,8.24,1.9,10.13,1138.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0014,Azithromycin,MOVING_AVERAGE,1.0,0.6478,0.5217,7.67,OBSERVED,7.67,2.38,10.05,953.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0026,Doxycycline,TREND,0.7802,0.4684,0.4823,9.33,OBSERVED,7.28,2.43,9.71,686.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0008,Amoxicillin,NAIVE,1.0,0.6784,0.4,7.77,OBSERVED,7.77,1.84,9.61,962.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0049,Warfarin,MOVING_AVERAGE,1.1429,1.5325,0.6455,5.87,OBSERVED,6.71,2.58,9.29,2159.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0041,Paracetamol,MOVING_AVERAGE,1.1429,0.9675,0.4995,6.06,OBSERVED,6.92,2.03,8.95,1370.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0030,FolicAcid,MOVING_AVERAGE,0.7143,0.9017,0.2714,9.81,OBSERVED,7.01,1.4,8.41,1273.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0022,Ciprofloxacin,MOVING_AVERAGE,0.5714,0.5594,0.4841,9.73,OBSERVED,5.56,2.49,8.05,805.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0010,ArtemetherLumefantrine,MOVING_AVERAGE,1.0,0.8256,0.3646,6.35,OBSERVED,6.35,1.52,7.87,1169.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0015,Bisoprolol,MOVING_AVERAGE,0.7143,0.2303,0.4561,7.0,ASSUMED_7_DAYS,5.0,1.99,6.99,492.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0047,Valproate,MOVING_AVERAGE,0.7143,0.834,0.2984,7.33,OBSERVED,5.24,1.33,6.57,1157.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0039,Montelukast,MOVING_AVERAGE,0.8571,0.8467,0.2608,6.0,OBSERVED,5.14,1.05,6.2,1230.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0031,Furosemide,MOVING_AVERAGE,0.4286,0.3767,0.47,8.7,OBSERVED,3.73,2.29,6.02,543.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0033,Gliclazide,MOVING_AVERAGE,0.4286,0.534,0.4594,8.43,OBSERVED,3.61,2.2,5.81,774.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0037,Losartan,MOVING_AVERAGE,0.5714,0.8098,0.2984,6.79,OBSERVED,3.88,1.28,5.16,1123.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0045,Spironolactone,WEIGHTED_MOVING_AVERAGE,0.2857,0.1976,0.3921,7.5,OBSERVED,2.14,1.77,3.91,335.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0012,Atenolol,WEIGHTED_MOVING_AVERAGE,0.0,0.2912,0.3622,12.0,OBSERVED,0.0,2.07,2.07,408.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0023,Clopidogrel,NAIVE,0.0,0.2472,0.4647,7.0,ASSUMED_7_DAYS,0.0,2.03,2.03,391.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0044,Simvastatin,WEIGHTED_MOVING_AVERAGE,0.0,0.2432,0.3989,8.75,OBSERVED,0.0,1.95,1.95,375.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0028,Esomeprazole,NAIVE,0.0,0.3414,0.3829,8.0,OBSERVED,0.0,1.79,1.79,486.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0013,Atorvastatin,TREND,0.3736,0.2807,0.4018,2.0,OBSERVED,0.75,0.94,1.68,444.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0004,Ambroxol,NAIVE,0.0,0.2056,0.3769,7.0,ASSUMED_7_DAYS,0.0,1.65,1.65,472.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0025,Diclofenac,NAIVE,0.0,0.1788,0.3606,7.0,OBSERVED,0.0,1.57,1.57,284.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0020,Ceftriaxone,MOVING_AVERAGE,0.0,0.1055,0.2111,12.0,OBSERVED,0.0,1.21,1.21,175.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0036,Insulin,NAIVE,0.0,0.1307,0.2351,7.0,ASSUMED_7_DAYS,0.0,1.03,1.03,387.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0002,Albendazole,NAIVE,0.0,0.1204,0.1903,6.0,OBSERVED,0.0,0.77,0.77,207.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
