DrugID,ForecastDailyDemand,ForecastModel,ForecastMAE,ABCClass,ManagementPriority,CurrentStock,CoverageDays,CoverageStatus,ReorderPoint,ROPDecision,SafetyStock,EOQ,ExpiredBatches,CriticalExpiryBatches,HighExpiryBatches,MediumExpiryBatches,LowExpiryBatches,SupplierCount,HighReliabilitySuppliers,MediumReliabilitySuppliers,LowReliabilitySuppliers,DataSource,DataStatus,OperationalUse
D0001,9.0,MOVING_AVERAGE,2.9698,B,MEDIUM,10330.0,1147.78,HIGH,83.15,ADEQUATE,13.62,269.29,15,1,1,2,7,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0002,0.0,NAIVE,0.1903,C,LOW,207.0,999999.0,HIGH,0.87,ADEQUATE,0.87,0.0,1,0,0,0,1,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0003,1.8571,MOVING_AVERAGE,0.7804,A,HIGH,3522.0,1896.51,HIGH,17.93,ADEQUATE,3.58,43.57,22,1,1,2,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0004,0.0,NAIVE,0.3769,C,LOW,472.0,999999.0,HIGH,1.73,ADEQUATE,1.73,0.0,1,0,0,0,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0005,4.5714,MOVING_AVERAGE,1.2497,A,HIGH,7332.0,1603.89,HIGH,41.05,ADEQUATE,5.73,91.16,11,1,0,2,9,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0006,2.0,MOVING_AVERAGE,0.7307,A,HIGH,2637.0,1318.5,HIGH,18.8,ADEQUATE,3.35,54.61,19,0,1,1,4,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0007,2.5714,MOVING_AVERAGE,0.7048,A,HIGH,3875.0,1506.96,HIGH,23.1,ADEQUATE,3.23,54.81,5,1,0,2,16,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0008,1.0,NAIVE,0.4,B,MEDIUM,962.0,962.0,HIGH,9.56,ADEQUATE,1.83,38.31,7,0,1,1,5,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0009,4.5714,MOVING_AVERAGE,2.1169,A,HIGH,8244.0,1803.39,HIGH,45.03,ADEQUATE,9.71,136.08,19,0,2,1,4,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0010,1.0,MOVING_AVERAGE,0.3646,B,MEDIUM,1169.0,1169.0,HIGH,9.4,ADEQUATE,1.67,43.17,12,0,1,2,3,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0011,4.2857,MOVING_AVERAGE,0.8249,A,HIGH,6333.0,1477.7,HIGH,36.89,ADEQUATE,3.78,86.89,11,0,1,2,9,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0012,0.0,WEIGHTED_MOVING_AVERAGE,0.3622,C,LOW,408.0,999999.0,HIGH,1.66,ADEQUATE,1.66,0.0,1,0,0,0,2,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0013,0.3736,TREND,0.4018,C,LOW,444.0,1188.44,HIGH,4.73,ADEQUATE,1.84,33.93,1,0,0,0,1,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0014,1.0,MOVING_AVERAGE,0.5217,C,LOW,953.0,953.0,HIGH,10.12,ADEQUATE,2.39,65.51,6,0,1,1,8,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0015,0.7143,MOVING_AVERAGE,0.4561,C,LOW,492.0,688.79,HIGH,7.61,ADEQUATE,2.09,29.1,1,0,0,0,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0016,5.8571,MOVING_AVERAGE,1.2217,A,HIGH,9398.0,1604.55,HIGH,50.86,ADEQUATE,5.6,105.19,21,1,1,2,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0017,1.0,MOVING_AVERAGE,0.4005,B,MEDIUM,1138.0,1138.0,HIGH,9.56,ADEQUATE,1.84,43.81,1,0,0,2,15,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0018,9.0,MOVING_AVERAGE,2.1825,A,HIGH,9670.0,1074.44,HIGH,79.54,ADEQUATE,10.01,100.95,12,0,1,2,8,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0019,1.0,NAIVE,0.4015,B,MEDIUM,470.0,470.0,HIGH,9.57,ADEQUATE,1.84,32.43,2,0,1,0,1,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0020,0.0,MOVING_AVERAGE,0.2111,C,LOW,175.0,999999.0,HIGH,0.97,ADEQUATE,0.97,0.0,1,0,0,1,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0021,7.4286,MOVING_AVERAGE,1.7053,A,HIGH,10942.0,1472.96,HIGH,65.21,ADEQUATE,7.82,109.85,12,0,1,2,11,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0022,0.5714,MOVING_AVERAGE,0.4841,C,LOW,805.0,1408.82,HIGH,6.63,ADEQUATE,2.22,36.91,14,0,1,1,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0023,0.0,NAIVE,0.4647,C,LOW,391.0,999999.0,HIGH,2.13,ADEQUATE,2.13,0.0,1,0,0,0,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0024,1.1429,MOVING_AVERAGE,0.7693,B,MEDIUM,2667.0,2333.54,HIGH,12.36,ADEQUATE,3.53,62.56,15,1,1,1,4,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0025,0.0,NAIVE,0.3606,C,LOW,284.0,999999.0,HIGH,1.65,ADEQUATE,1.65,0.0,1,1,0,0,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0026,0.7802,TREND,0.4823,B,MEDIUM,686.0,879.26,HIGH,8.24,ADEQUATE,2.21,28.66,1,0,0,1,5,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0027,7.8571,MOVING_AVERAGE,1.9397,A,HIGH,11007.0,1400.9,HIGH,69.6,ADEQUATE,8.9,178.46,15,1,1,2,6,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0028,0.0,NAIVE,0.3829,C,LOW,486.0,999999.0,HIGH,1.76,ADEQUATE,1.76,0.0,1,0,0,0,1,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0029,4.0,MOVING_AVERAGE,1.1138,B,MEDIUM,6571.0,1642.75,HIGH,36.01,ADEQUATE,5.11,164.05,17,1,1,2,4,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0030,0.7143,MOVING_AVERAGE,0.2714,C,LOW,1273.0,1782.16,HIGH,6.76,ADEQUATE,1.24,46.15,5,1,0,2,9,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0031,0.4286,MOVING_AVERAGE,0.47,C,LOW,543.0,1266.92,HIGH,5.47,ADEQUATE,2.16,22.9,6,0,0,1,4,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0032,2.2857,MOVING_AVERAGE,0.7217,A,HIGH,3904.0,1708.01,HIGH,20.97,ADEQUATE,3.31,60.01,4,0,1,2,14,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0033,0.4286,MOVING_AVERAGE,0.4594,B,MEDIUM,774.0,1805.88,HIGH,5.42,ADEQUATE,2.11,24.78,11,0,1,1,2,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0034,1.8571,MOVING_AVERAGE,0.6085,B,MEDIUM,2150.0,1157.72,HIGH,17.14,ADEQUATE,2.79,68.74,13,1,1,1,3,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0035,3.8571,MOVING_AVERAGE,1.4106,B,MEDIUM,6839.0,1773.09,HIGH,36.27,ADEQUATE,6.47,170.73,11,1,0,2,9,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0036,0.0,NAIVE,0.2351,C,LOW,387.0,999999.0,HIGH,1.08,ADEQUATE,1.08,0.0,1,0,0,0,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0037,0.5714,MOVING_AVERAGE,0.2984,B,MEDIUM,1123.0,1965.35,HIGH,5.78,ADEQUATE,1.37,33.37,17,1,1,1,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0038,2.5357,WEIGHTED_MOVING_AVERAGE,0.6194,C,LOW,3695.0,1457.19,HIGH,22.43,ADEQUATE,2.84,249.65,19,0,2,1,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0039,0.8571,MOVING_AVERAGE,0.2608,B,MEDIUM,1230.0,1435.07,HIGH,7.82,ADEQUATE,1.2,36.32,1,0,0,1,15,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0040,1.0,NAIVE,0.461,C,LOW,526.0,526.0,HIGH,9.84,ADEQUATE,2.11,43.24,1,0,0,0,4,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0041,1.1429,MOVING_AVERAGE,0.4995,B,MEDIUM,1370.0,1198.71,HIGH,11.12,ADEQUATE,2.29,32.9,15,1,2,1,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0042,7.4286,MOVING_AVERAGE,2.6032,A,HIGH,11619.0,1564.09,HIGH,69.33,ADEQUATE,11.94,177.72,12,1,1,2,10,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0043,7.5714,MOVING_AVERAGE,2.3677,A,HIGH,11123.0,1469.08,HIGH,69.36,ADEQUATE,10.86,135.11,21,1,1,2,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0044,0.0,WEIGHTED_MOVING_AVERAGE,0.3989,C,LOW,375.0,999999.0,HIGH,1.83,ADEQUATE,1.83,0.0,4,0,1,0,0,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0045,0.2857,WEIGHTED_MOVING_AVERAGE,0.3921,C,LOW,335.0,1172.56,HIGH,4.01,ADEQUATE,1.8,21.46,1,0,0,0,4,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0046,3.2857,MOVING_AVERAGE,0.6677,A,HIGH,5059.0,1539.7,HIGH,28.45,ADEQUATE,3.06,77.58,14,1,1,1,6,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0047,0.7143,MOVING_AVERAGE,0.2984,B,MEDIUM,1157.0,1619.77,HIGH,6.89,ADEQUATE,1.37,43.4,2,0,1,2,14,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0048,6.5714,MOVING_AVERAGE,1.8291,A,HIGH,9951.0,1514.29,HIGH,59.16,ADEQUATE,8.39,116.77,12,1,1,1,10,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0049,1.1429,MOVING_AVERAGE,0.6455,A,HIGH,2159.0,1889.05,HIGH,11.79,ADEQUATE,2.96,35.17,11,0,1,2,10,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0050,2.2857,MOVING_AVERAGE,0.8841,B,MEDIUM,4359.0,1907.07,HIGH,21.71,ADEQUATE,4.05,93.84,12,1,1,2,6,10,10,0,0,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
