DrugID,ForecastDailyDemand,LeadTimeDays,LeadTimeDemand,SafetyStock,ReorderPoint,CurrentStock,Decision,DataSource,DataStatus,OperationalUse
D0001,9.0,7.73,69.53,13.62,83.15,10330.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0002,0.0,7.73,0.0,0.87,0.87,207.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0003,1.8571,7.73,14.35,3.58,17.93,3522.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0004,0.0,7.73,0.0,1.73,1.73,472.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0005,4.5714,7.73,35.32,5.73,41.05,7332.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0006,2.0,7.73,15.45,3.35,18.8,2637.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0007,2.5714,7.73,19.87,3.23,23.1,3875.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0008,1.0,7.73,7.73,1.83,9.56,962.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0009,4.5714,7.73,35.32,9.71,45.03,8244.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0010,1.0,7.73,7.73,1.67,9.4,1169.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0011,4.2857,7.73,33.11,3.78,36.89,6333.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0012,0.0,7.73,0.0,1.66,1.66,408.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0013,0.3736,7.73,2.89,1.84,4.73,444.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0014,1.0,7.73,7.73,2.39,10.12,953.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0015,0.7143,7.73,5.52,2.09,7.61,492.0,ADEQUATE,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
