DrugID,ForecastDailyDemand,DemandUncertaintyMAE,LeadTimeDays,ServiceFactor,SafetyStock,DataSource,DataStatus,OperationalUse
D0001,9.0,2.9698,7.73,1.65,13.62,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0002,0.0,0.1903,7.73,1.65,0.87,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0003,1.8571,0.7804,7.73,1.65,3.58,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0004,0.0,0.3769,7.73,1.65,1.73,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0005,4.5714,1.2497,7.73,1.65,5.73,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0006,2.0,0.7307,7.73,1.65,3.35,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0007,2.5714,0.7048,7.73,1.65,3.23,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0008,1.0,0.4,7.73,1.65,1.83,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0009,4.5714,2.1169,7.73,1.65,9.71,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0010,1.0,0.3646,7.73,1.65,1.67,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0011,4.2857,0.8249,7.73,1.65,3.78,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0012,0.0,0.3622,7.73,1.65,1.66,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0013,0.3736,0.4018,7.73,1.65,1.84,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0014,1.0,0.5217,7.73,1.65,2.39,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0015,0.7143,0.4561,7.73,1.65,2.09,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0016,5.8571,1.2217,7.73,1.65,5.6,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0017,1.0,0.4005,7.73,1.65,1.84,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0018,9.0,2.1825,7.73,1.65,10.01,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0019,1.0,0.4015,7.73,1.65,1.84,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0020,0.0,0.2111,7.73,1.65,0.97,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0021,7.4286,1.7053,7.73,1.65,7.82,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0022,0.5714,0.4841,7.73,1.65,2.22,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0023,0.0,0.4647,7.73,1.65,2.13,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0024,1.1429,0.7693,7.73,1.65,3.53,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0025,0.0,0.3606,7.73,1.65,1.65,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0026,0.7802,0.4823,7.73,1.65,2.21,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0027,7.8571,1.9397,7.73,1.65,8.9,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0028,0.0,0.3829,7.73,1.65,1.76,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
