AdjustmentID,Date,DrugID,Quantity,Reason,DataSource,DataStatus,NotOperationalEvidence
A0000001,2026-02-27,D0003,-3,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000002,2026-06-16,D0004,2,Damaged,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000003,2026-02-16,D0005,3,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000004,2024-02-01,D0009,-2,Damaged,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000005,2023-02-05,D0011,-1,DataCorrection,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000006,2023-09-18,D0012,-2,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000007,2024-09-03,D0013,2,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000008,2023-04-02,D0016,1,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000009,2023-03-29,D0017,-2,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000010,2023-12-11,D0019,-1,Damaged,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000011,2023-09-17,D0020,-3,Damaged,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000012,2024-08-28,D0022,-2,DataCorrection,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000013,2023-08-16,D0024,1,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000014,2024-12-23,D0027,-3,DataCorrection,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000015,2023-03-06,D0030,-3,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000016,2025-06-24,D0032,1,DataCorrection,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000017,2023-07-18,D0033,-1,Damaged,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000018,2026-08-03,D0034,1,DataCorrection,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000019,2023-03-02,D0041,3,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000020,2025-05-08,D0044,-2,Damaged,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000021,2023-06-07,D0045,-2,DataCorrection,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000022,2024-08-15,D0046,3,CycleCount,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
A0000023,2026-04-23,D0047,1,Damaged,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
