DeliveryID,PurchaseID,DrugID,SupplierID,OrderDate,DeliveryDate,LeadTimeDays,OrderedQuantity,ReceivedQuantity,OnTime,DataSource,DataStatus,NotOperationalEvidence
DEL0000001,P0000001,D0048,S006,2023-01-16,2023-01-27,11,414,414,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000002,P0000002,D0016,S009,2023-01-17,2023-01-20,3,389,389,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000003,P0000003,D0018,S007,2023-01-20,2023-01-22,2,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000004,P0000004,D0042,S003,2023-01-22,2023-01-29,7,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000005,P0000005,D0027,S001,2023-01-24,2023-01-27,3,449,449,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000006,P0000006,D0006,S002,2023-01-29,2023-02-06,8,108,108,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000007,P0000007,D0021,S001,2023-02-01,2023-02-16,15,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000008,P0000008,D0043,S008,2023-02-01,2023-02-03,2,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000009,P0000009,D0003,S001,2023-02-02,2023-02-13,11,137,120,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000010,P0000010,D0001,S005,2023-02-03,2023-02-09,6,400,400,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000011,P0000011,D0011,S006,2023-02-06,2023-02-24,18,279,279,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000012,P0000012,D0007,S010,2023-02-07,2023-02-18,11,162,162,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000013,P0000013,D0009,S001,2023-02-10,2023-02-23,13,319,319,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000014,P0000014,D0046,S004,2023-02-20,2023-02-28,8,218,218,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000015,P0000015,D0005,S010,2023-02-21,2023-03-03,10,318,290,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000016,P0000016,D0035,S007,2023-02-22,2023-02-26,4,296,296,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000017,P0000017,D0022,S010,2023-02-27,2023-03-09,10,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000018,P0000018,D0029,S003,2023-03-01,2023-03-09,8,257,257,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000019,P0000019,D0048,S005,2023-03-08,2023-03-13,5,414,355,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000020,P0000020,D0016,S006,2023-03-11,2023-03-18,7,389,389,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000021,P0000021,D0006,S001,2023-03-12,2023-03-21,9,108,108,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000022,P0000022,D0018,S005,2023-03-12,2023-03-14,2,426,387,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000023,P0000023,D0042,S004,2023-03-13,2023-03-22,9,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000024,P0000024,D0003,S002,2023-03-15,2023-03-28,13,137,137,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000025,P0000025,D0027,S004,2023-03-20,2023-04-02,13,449,449,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000026,P0000026,D0031,S006,2023-03-20,2023-03-24,4,50,41,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000027,P0000027,D0021,S008,2023-03-21,2023-03-23,2,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000028,P0000028,D0049,S005,2023-03-21,2023-03-23,2,88,88,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000029,P0000029,D0001,S008,2023-03-23,2023-03-25,2,400,400,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000030,P0000030,D0009,S008,2023-03-25,2023-03-28,3,319,319,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000031,P0000031,D0043,S004,2023-03-28,2023-04-08,11,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000032,P0000032,D0007,S010,2023-03-29,2023-04-09,11,162,162,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000033,P0000033,D0011,S006,2023-03-31,2023-04-14,14,279,279,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000034,P0000034,D0032,S005,2023-04-06,2023-04-10,4,178,178,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000035,P0000035,D0005,S008,2023-04-08,2023-04-16,8,318,286,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000036,P0000036,D0035,S002,2023-04-10,2023-04-19,9,296,296,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000037,P0000037,D0046,S004,2023-04-11,2023-04-23,12,218,202,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000038,P0000038,D0050,S006,2023-04-13,2023-05-04,21,187,187,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000039,P0000039,D0033,S010,2023-04-17,2023-04-28,11,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000040,P0000040,D0048,S003,2023-04-17,2023-04-21,4,414,356,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000041,P0000041,D0029,S001,2023-04-23,2023-05-04,11,257,257,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000042,P0000042,D0018,S006,2023-04-24,2023-05-05,11,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000043,P0000043,D0006,S001,2023-04-25,2023-05-07,12,108,108,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000044,P0000044,D0016,S004,2023-04-26,2023-05-07,11,389,389,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000045,P0000045,D0042,S005,2023-04-30,2023-05-16,16,455,455,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000046,P0000046,D0003,S003,2023-05-01,2023-05-07,6,137,137,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000047,P0000047,D0021,S006,2023-05-05,2023-05-12,7,426,426,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000048,P0000048,D0027,S006,2023-05-05,2023-05-26,21,449,449,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000049,P0000049,D0049,S005,2023-05-06,2023-05-10,4,88,88,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000050,P0000050,D0001,S004,2023-05-07,2023-05-18,11,400,400,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000051,P0000051,D0022,S008,2023-05-09,2023-05-19,10,50,50,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000052,P0000052,D0038,S002,2023-05-09,2023-05-19,10,155,155,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
DEL0000053,P0000053,D0037,S008,2023-05-11,2023-05-15,4,52,52,TRUE,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
