RequestID,Timestamp,DrugID,RequestedQuantity,FulfilledQuantity,UnfulfilledQuantity,DataSource,DataStatus,NotOperationalEvidence
R00000001,2023-01-01,D0001,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000002,2023-01-01,D0003,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000003,2023-01-01,D0005,8,8,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000004,2023-01-01,D0006,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000005,2023-01-01,D0007,3,3,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000006,2023-01-01,D0009,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000007,2023-01-01,D0010,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000008,2023-01-01,D0011,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000009,2023-01-01,D0012,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000010,2023-01-01,D0013,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000011,2023-01-01,D0014,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000012,2023-01-01,D0015,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000013,2023-01-01,D0016,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000014,2023-01-01,D0017,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000015,2023-01-01,D0018,5,5,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000016,2023-01-01,D0021,4,4,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000017,2023-01-01,D0022,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000018,2023-01-01,D0024,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000019,2023-01-01,D0026,1,1,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
R00000020,2023-01-01,D0027,7,7,0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
