PurchaseID,OrderDate,DrugID,SupplierID,OrderQuantity,UnitCost,TotalCost,DataSource,DataStatus,NotOperationalEvidence
P0000001,2023-01-16,D0048,S006,414,35.18,14564.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000002,2023-01-17,D0016,S009,389,38.64,15030.96,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000003,2023-01-20,D0018,S007,426,64.47,27464.22,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000004,2023-01-22,D0042,S003,455,17.17,7812.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000005,2023-01-24,D0027,S001,449,18.01,8086.49,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000006,2023-01-29,D0006,S002,108,48.96,5287.68,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000007,2023-02-01,D0021,S001,426,44.94,19144.44,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000008,2023-02-01,D0043,S008,455,30.28,13777.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000009,2023-02-02,D0003,S001,137,71.4,9781.8,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000010,2023-02-03,D0001,S005,400,9.06,3624.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000011,2023-02-06,D0011,S006,279,41.44,11561.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000012,2023-02-07,D0007,S010,162,62.48,10121.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000013,2023-02-10,D0009,S001,319,18.02,5748.38,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000014,2023-02-20,D0046,S004,218,39.85,8687.3,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000015,2023-02-21,D0005,S010,318,40.16,12770.88,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000016,2023-02-22,D0035,S007,296,9.66,2859.36,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000017,2023-02-27,D0022,S010,50,30.61,1530.5,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000018,2023-03-01,D0029,S003,257,10.85,2788.45,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000019,2023-03-08,D0048,S005,414,35.18,14564.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000020,2023-03-11,D0016,S006,389,38.64,15030.96,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000021,2023-03-12,D0006,S001,108,48.96,5287.68,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000022,2023-03-12,D0018,S005,426,64.47,27464.22,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000023,2023-03-13,D0042,S004,455,17.17,7812.35,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000024,2023-03-15,D0003,S002,137,71.4,9781.8,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000025,2023-03-20,D0027,S004,449,18.01,8086.49,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000026,2023-03-20,D0031,S006,50,59.64,2982.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000027,2023-03-21,D0021,S008,426,44.94,19144.44,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000028,2023-03-21,D0049,S005,88,67.45,5935.6,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000029,2023-03-23,D0001,S008,400,9.06,3624.0,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000030,2023-03-25,D0009,S008,319,18.02,5748.38,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000031,2023-03-28,D0043,S004,455,30.28,13777.4,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000032,2023-03-29,D0007,S010,162,62.48,10121.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000033,2023-03-31,D0011,S006,279,41.44,11561.76,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
P0000034,2023-04-06,D0032,S005,178,46.34,8248.52,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
