ReturnID,Timestamp,SaleID,DrugID,Quantity,Reason,DataSource,DataStatus,NotOperationalEvidence
RET0000001,2023-01-02T14:19:00,SALE00000066,D0047,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000002,2023-01-06T12:34:00,SALE00000214,D0049,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000003,2023-01-08T10:22:00,SALE00000269,D0035,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000004,2023-01-09T16:35:00,SALE00000295,D0018,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000005,2023-01-09T12:55:00,SALE00000296,D0019,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000006,2023-01-10T20:14:00,SALE00000344,D0034,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000007,2023-01-13T12:14:00,SALE00000461,D0050,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000008,2023-01-14T16:18:00,SALE00000464,D0005,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000009,2023-01-14T15:52:00,SALE00000467,D0008,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000010,2023-01-15T20:00:00,SALE00000503,D0016,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000011,2023-01-20T20:00:00,SALE00000706,D0049,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000012,2023-01-24T09:12:00,SALE00000855,D0049,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000013,2023-01-25T08:03:00,SALE00000882,D0040,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000014,2023-01-28T14:12:00,SALE00000963,D0010,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000015,2023-01-28T08:52:00,SALE00000975,D0030,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000016,2023-01-29T08:01:00,SALE00001008,D0030,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000017,2023-02-01T11:46:00,SALE00001129,D0041,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000018,2023-02-02T16:18:00,SALE00001145,D0016,1,DamagedPackage,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000019,2023-02-03T16:04:00,SALE00001192,D0031,1,CustomerReturn,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
RET0000020,2023-02-04T09:58:00,SALE00001229,D0029,1,WrongItem,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
