SaleID,Timestamp,DrugID,Quantity,UnitPrice,Revenue,BatchID,DataSource,DataStatus,NotOperationalEvidence
SALE00000001,2023-01-01T15:05:00,D0001,5,10.71,53.55,B000001,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000002,2023-01-01T12:46:00,D0003,3,84.38,253.14,B000003,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000003,2023-01-01T19:39:00,D0005,8,52.09,416.72,B000005,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000004,2023-01-01T11:59:00,D0006,1,61.77,61.77,B000006,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000005,2023-01-01T19:33:00,D0007,3,74.09,222.27,B000007,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000006,2023-01-01T20:03:00,D0009,4,21.38,85.52,B000009,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000007,2023-01-01T13:34:00,D0010,1,47.12,47.12,B000010,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000008,2023-01-01T13:10:00,D0011,4,50.9,203.6,B000011,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000009,2023-01-01T13:01:00,D0012,1,30.61,30.61,B000012,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000010,2023-01-01T21:01:00,D0013,1,30.24,30.24,B000013,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000011,2023-01-01T19:13:00,D0014,1,21.2,21.2,B000014,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000012,2023-01-01T13:46:00,D0015,1,75.33,75.33,B000015,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000013,2023-01-01T13:41:00,D0016,5,51.61,258.05,B000016,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000014,2023-01-01T08:46:00,D0017,1,51.11,51.11,B000017,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000015,2023-01-01T13:36:00,D0018,5,78.06,390.3,B000018,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000016,2023-01-01T17:05:00,D0021,4,57.92,231.68,B000021,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000017,2023-01-01T20:52:00,D0022,1,35.59,35.59,B000022,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000018,2023-01-01T13:16:00,D0024,1,25.32,25.32,B000024,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000019,2023-01-01T14:00:00,D0026,1,84.52,84.52,B000026,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000020,2023-01-01T20:30:00,D0027,7,21.0,147.0,B000027,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000021,2023-01-01T14:39:00,D0029,6,13.88,83.28,B000029,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
SALE00000022,2023-01-01T20:28:00,D0030,1,29.59,29.59,B000030,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
