MovementID,Timestamp,DrugID,BatchID,MovementType,Quantity,ReferenceID,DataSource,DataStatus,NotOperationalEvidence
M000000001,2023-01-01T15:05:00,D0001,B000001,SALE,-5,SALE00000001,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000002,2023-01-01T12:46:00,D0003,B000003,SALE,-3,SALE00000002,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000003,2023-01-01T19:39:00,D0005,B000005,SALE,-8,SALE00000003,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000004,2023-01-01T11:59:00,D0006,B000006,SALE,-1,SALE00000004,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000005,2023-01-01T19:33:00,D0007,B000007,SALE,-3,SALE00000005,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000006,2023-01-01T20:03:00,D0009,B000009,SALE,-4,SALE00000006,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000007,2023-01-01T13:34:00,D0010,B000010,SALE,-1,SALE00000007,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000008,2023-01-01T13:10:00,D0011,B000011,SALE,-4,SALE00000008,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000009,2023-01-01T13:01:00,D0012,B000012,SALE,-1,SALE00000009,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000010,2023-01-01T21:01:00,D0013,B000013,SALE,-1,SALE00000010,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000011,2023-01-01T19:13:00,D0014,B000014,SALE,-1,SALE00000011,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000012,2023-01-01T13:46:00,D0015,B000015,SALE,-1,SALE00000012,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000013,2023-01-01T13:41:00,D0016,B000016,SALE,-5,SALE00000013,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000014,2023-01-01T08:46:00,D0017,B000017,SALE,-1,SALE00000014,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000015,2023-01-01T13:36:00,D0018,B000018,SALE,-5,SALE00000015,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000016,2023-01-01T17:05:00,D0021,B000021,SALE,-4,SALE00000016,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000017,2023-01-01T20:52:00,D0022,B000022,SALE,-1,SALE00000017,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000018,2023-01-01T13:16:00,D0024,B000024,SALE,-1,SALE00000018,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000019,2023-01-01T14:00:00,D0026,B000026,SALE,-1,SALE00000019,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000020,2023-01-01T20:30:00,D0027,B000027,SALE,-7,SALE00000020,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000021,2023-01-01T14:39:00,D0029,B000029,SALE,-6,SALE00000021,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000022,2023-01-01T20:28:00,D0030,B000030,SALE,-1,SALE00000022,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000023,2023-01-01T09:41:00,D0032,B000032,SALE,-2,SALE00000023,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000024,2023-01-01T13:54:00,D0034,B000034,SALE,-1,SALE00000024,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000025,2023-01-01T08:13:00,D0035,B000035,SALE,-6,SALE00000025,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
M000000026,2023-01-01T15:59:00,D0037,B000037,SALE,-1,SALE00000026,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
