SupplierID,SupplierName,Region,BaselineLeadTimeDays,LeadTimeVariabilityDays,Reliability,DataSource,DataStatus,NotOperationalEvidence
S001,Simulated Supplier 01,Giza,10,3,0.906,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
S002,Simulated Supplier 02,Alexandria,11,3,0.961,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
S003,Simulated Supplier 03,Cairo,8,2,0.934,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
S004,Simulated Supplier 04,Delta,10,2,0.849,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
S005,Simulated Supplier 05,Delta,3,5,0.932,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
S006,Simulated Supplier 06,Alexandria,14,5,0.865,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
S007,Simulated Supplier 07,Alexandria,3,2,0.959,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
S008,Simulated Supplier 08,Cairo,3,3,0.933,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
S009,Simulated Supplier 09,Delta,6,3,0.893,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
S010,Simulated Supplier 10,Delta,11,1,0.844,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
