DrugID,ForecastDailyDemand,CurrentStock,CoverageDays,CoverageStatus,DataSource,DataStatus,OperationalUse
D0001,9.0,10330.0,1147.78,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0002,0.0,207.0,999999.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0003,1.8571,3522.0,1896.51,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0004,0.0,472.0,999999.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0005,4.5714,7332.0,1603.89,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0006,2.0,2637.0,1318.5,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0007,2.5714,3875.0,1506.96,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0008,1.0,962.0,962.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0009,4.5714,8244.0,1803.39,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0010,1.0,1169.0,1169.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0011,4.2857,6333.0,1477.7,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0012,0.0,408.0,999999.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0013,0.3736,444.0,1188.44,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0014,1.0,953.0,953.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0015,0.7143,492.0,688.79,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0016,5.8571,9398.0,1604.55,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0017,1.0,1138.0,1138.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0018,9.0,9670.0,1074.44,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0019,1.0,470.0,470.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0020,0.0,175.0,999999.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0021,7.4286,10942.0,1472.96,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0022,0.5714,805.0,1408.82,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0023,0.0,391.0,999999.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0024,1.1429,2667.0,2333.54,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0025,0.0,284.0,999999.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0026,0.7802,686.0,879.26,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0027,7.8571,11007.0,1400.9,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0028,0.0,486.0,999999.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0029,4.0,6571.0,1642.75,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0030,0.7143,1273.0,1782.16,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0031,0.4286,543.0,1266.92,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0032,2.2857,3904.0,1708.01,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0033,0.4286,774.0,1805.88,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0034,1.8571,2150.0,1157.72,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0035,3.8571,6839.0,1773.09,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0036,0.0,387.0,999999.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0037,0.5714,1123.0,1965.35,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0038,2.5357,3695.0,1457.19,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0039,0.8571,1230.0,1435.07,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0040,1.0,526.0,526.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0041,1.1429,1370.0,1198.71,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0042,7.4286,11619.0,1564.09,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0043,7.5714,11123.0,1469.08,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0044,0.0,375.0,999999.0,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0045,0.2857,335.0,1172.56,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0046,3.2857,5059.0,1539.7,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0047,0.7143,1157.0,1619.77,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0048,6.5714,9951.0,1514.29,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0049,1.1429,2159.0,1889.05,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
D0050,2.2857,4359.0,1907.07,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
