SupplierID,Orders,Deliveries,OrderedUnits,ProcurementCost,OnTimeDeliveries,OnTimeRatePercent,AverageLeadTimeDays,SupplierReliability,DataSource,DataStatus,OperationalUse
S001,66,66,14908.0,466616.16,66,100.0,9.53,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
S002,65,65,12264.0,416303.68,65,100.0,10.15,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
S003,88,88,19645.0,574275.91,88,100.0,7.51,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
S004,89,89,18868.0,567088.79,89,100.0,9.26,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
S005,85,85,20261.0,633386.44,85,100.0,3.94,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
S006,68,68,14744.0,501384.97,68,100.0,14.15,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
S007,75,75,15615.0,561133.0,75,100.0,2.92,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
S008,74,74,14778.0,455868.89,74,100.0,3.39,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
S009,61,61,13289.0,510546.38,61,100.0,5.8,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
S010,74,74,15103.0,509845.24,74,100.0,10.61,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,PROHIBITED
