DrugID,DrugName,CurrentStock,SellingPrice,StockValue,PurchasedQty,ProcurementCost,SoldQty,Revenue,AverageUnitCost,EstimatedMargin,DailyDemand,ObservationDays,StockDays,ReorderSignal,Expiry,DaysToExpiry,ExpiryStatus,ABC_Class,ABC_Method
1781527537635,Acetylcysteine,197.0,6.5,1280.5,23.0,129.5,6.0,39.0,5.63,5.22,0.0698,86,2823.67,OK,2027-10-31,417,OK,A,Observed-Sales ABC
1781528157266,Allopurinol,178.0,6.0,1068.0,0.0,0.0,2.0,12.0,0,12.0,0.0233,86,7654.0,OK,2027-09-15,371,OK,B,Observed-Sales ABC
1781528289325,Ambroxol,199.0,4.0,796.0,0.0,0.0,1.0,4.0,0,4.0,0.0116,86,17114.0,OK,2027-11-30,447,OK,C,Observed-Sales ABC
1781527501481,Albendazole,250.0,3.5,875.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2027-09-30,386,OK,C,Observed-Sales ABC
1781528208856,Amlodipine,400.0,4.0,1600.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2028-02-15,524,OK,C,Observed-Sales ABC
1781527609836,Amikacin,100.0,12.0,1200.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2027-11-30,447,OK,C,Observed-Sales ABC
1781527645613,Amitriptyline,150.0,5.0,750.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2027-12-31,478,OK,C,Observed-Sales ABC
1781527737614,Amoxicillin,300.0,8.5,2550.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2027-10-15,401,OK,C,Observed-Sales ABC
1781528261450,Apixaban,80.0,65.0,5200.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2027-12-31,478,OK,C,Observed-Sales ABC
1781527468568,ArtemetherLumefantrine,180.0,9.5,1710.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2027-11-30,447,OK,C,Observed-Sales ABC
1781528236311,ArtificialTears,250.0,5.0,1250.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2028-01-31,509,OK,C,Observed-Sales ABC
1781527491131,Aspirin,400.0,2.0,800.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2028-02-01,510,OK,C,Observed-Sales ABC
1781527672723,Atenolol,300.0,3.0,900.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2027-10-01,387,OK,C,Observed-Sales ABC
1781527832070,Atorvastatin,300.0,12.0,3600.0,0.0,0.0,0.0,0.0,0,0,0.0,86,,OK,2028-01-15,493,OK,C,Observed-Sales ABC
