Medicine,Stock,ObservedUnits,ObservedRevenue,DailyDemand,CoverageDays,ABC,ABCMethod,DataSource,DataStatus
Acetylcysteine,197,6,39.0,0.069767,2823.67,A,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Albendazole,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Allopurinol,178,2,12,0.023256,7654.0,B,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Ambroxol,199,1,4,0.011628,17114.0,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Amikacin,100,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Amitriptyline,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Amlodipine,400,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Amoxicillin,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Apixaban,80,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
ArtemetherLumefantrine,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
ArtificialTears,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Aspirin,400,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Atenolol,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Atorvastatin,300,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Augmentin,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Azithromycin,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Beclomethasone,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Bisacodyl,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Bisoprolol,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Brimonidine,100,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Bromhexine,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Budesonide,120,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
CalciumCarbonate,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Carbamazepine,180,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Carbimazole,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Cefalexin,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Ceftriaxone,150,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Cefuroxime,200,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Cetirizine,350,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
Chlorpheniramine,250,0,0,0.0,,C,OBSERVED-SALES,OBSERVED_V13,OBSERVED
