Medicine,Stock,ObservedUnits,DailyDemand,CoverageDays,Expiry,DaysToExpiry,ExpiryRisk,StockRisk,ABC,DataSource
Acetylcysteine,197,6,0.069767,2823.67,2027-10-31,419,LOW,VERY_HIGH_COVERAGE,A,OBSERVED_V13
Albendazole,250,0,0.0,,2027-09-30,388,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Allopurinol,178,2,0.023256,7654.0,2027-09-15,373,LOW,VERY_HIGH_COVERAGE,B,OBSERVED_V13
Ambroxol,199,1,0.011628,17114.0,2027-11-30,449,LOW,VERY_HIGH_COVERAGE,C,OBSERVED_V13
Amikacin,100,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Amitriptyline,150,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Amlodipine,400,0,0.0,,2028-02-15,526,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Amoxicillin,300,0,0.0,,2027-10-15,403,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Apixaban,80,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
ArtemetherLumefantrine,180,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
ArtificialTears,250,0,0.0,,2028-01-31,511,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Aspirin,400,0,0.0,,2028-02-01,512,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Atenolol,300,0,0.0,,2027-10-01,389,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Atorvastatin,300,0,0.0,,2028-01-15,495,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Augmentin,250,0,0.0,,2027-08-20,347,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Azithromycin,200,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Beclomethasone,120,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Bisacodyl,200,0,0.0,,2027-10-15,403,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Bisoprolol,250,0,0.0,,2027-11-01,420,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Brimonidine,100,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Bromhexine,180,0,0.0,,2027-12-31,480,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Budesonide,120,0,0.0,,2027-11-30,449,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
CalciumCarbonate,250,0,0.0,,2027-12-01,450,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Carbamazepine,180,0,0.0,,2027-10-01,389,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Carbimazole,150,0,0.0,,2027-11-25,444,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Cefalexin,250,0,0.0,,2027-11-20,439,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Ceftriaxone,150,0,0.0,,2027-10-01,389,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Cefuroxime,200,0,0.0,,2027-12-01,450,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Cetirizine,350,0,0.0,,2028-01-01,481,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Chlorpheniramine,250,0,0.0,,2027-10-15,403,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Ciprofloxacin,180,0,0.0,,2027-09-25,383,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Clopidogrel,220,0,0.0,,2027-10-10,398,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Clotrimazole,200,0,0.0,,2027-11-01,420,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Codeine,100,0,0.0,,2027-12-15,464,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Colchicine,120,0,0.0,,2027-10-20,408,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
Diazepam,100,0,0.0,,2027-10-15,403,LOW,NO_OBSERVED_DEMAND,C,OBSERVED_V13
