Medicine,ExpiryRisk,StockRisk,OverallRisk,DataSource
Acetylcysteine,LOW,VERY_HIGH_COVERAGE,HIGH,OBSERVED_V13
Albendazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Allopurinol,LOW,VERY_HIGH_COVERAGE,HIGH,OBSERVED_V13
Ambroxol,LOW,VERY_HIGH_COVERAGE,HIGH,OBSERVED_V13
Amikacin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Amitriptyline,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Amlodipine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Amoxicillin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Apixaban,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
ArtemetherLumefantrine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
ArtificialTears,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Aspirin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Atenolol,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Atorvastatin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Augmentin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Azithromycin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Beclomethasone,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Bisacodyl,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Bisoprolol,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Brimonidine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Bromhexine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Budesonide,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
CalciumCarbonate,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Carbamazepine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Carbimazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Cefalexin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Ceftriaxone,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Cefuroxime,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Cetirizine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Chlorpheniramine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Ciprofloxacin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Clopidogrel,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Clotrimazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Codeine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Colchicine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Diazepam,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Diclofenac,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Domperidone,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Doxycycline,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Duloxetine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Enalapril,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Esomeprazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
FerrousSulphate,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Fluconazole,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Fluoxetine,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
FolicAcid,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Furosemide,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Gabapentin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Gentamicin,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Glibenclamide,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
Gliclazide,LOW,NO_OBSERVED_DEMAND,LOW,OBSERVED_V13
