
PHARMACY REPORT V12
DATE: 2026-06-16T15:04:56.826Z

--- INVENTORY ---
Acetylcysteine | Qty:180 | Price:6.5 | Exp:2027-10-31
Albendazole | Qty:250 | Price:3.5 | Exp:2027-09-30
Allopurinol | Qty:180 | Price:6 | Exp:2027-09-15
Amlodipine | Qty:400 | Price:4 | Exp:2028-02-15
Ambroxol | Qty:200 | Price:4 | Exp:2027-11-30
Amikacin | Qty:100 | Price:12 | Exp:2027-11-30
Amitriptyline | Qty:150 | Price:5 | Exp:2027-12-31
Amoxicillin | Qty:300 | Price:8.5 | Exp:2027-10-15
Apixaban | Qty:80 | Price:65 | Exp:2027-12-31
ArtemetherLumefantrine | Qty:180 | Price:9.5 | Exp:2027-11-30
ArtificialTears | Qty:250 | Price:5 | Exp:2028-01-31
Aspirin | Qty:400 | Price:2 | Exp:2028-02-01
Atenolol | Qty:300 | Price:3 | Exp:2027-10-01
Atorvastatin | Qty:300 | Price:12 | Exp:2028-01-15
Augmentin | Qty:250 | Price:15 | Exp:2027-08-20
Azithromycin | Qty:200 | Price:12.5 | Exp:2027-11-30
Beclomethasone | Qty:120 | Price:17.5 | Exp:2027-12-15
Bisacodyl | Qty:200 | Price:3 | Exp:2027-10-15
Bisoprolol | Qty:250 | Price:6.5 | Exp:2027-11-01
Brimonidine | Qty:100 | Price:22 | Exp:2027-12-15
Bromhexine | Qty:180 | Price:3.5 | Exp:2027-12-31
Budesonide | Qty:120 | Price:20 | Exp:2027-11-30
CalciumCarbonate | Qty:250 | Price:3.5 | Exp:2027-12-01
Carbamazepine | Qty:180 | Price:7.5 | Exp:2027-10-01
Carbimazole | Qty:150 | Price:7 | Exp:2027-11-25
Cefalexin | Qty:250 | Price:9 | Exp:2027-11-20
Ceftriaxone | Qty:150 | Price:20 | Exp:2027-10-01
Cefuroxime | Qty:200 | Price:15 | Exp:2027-12-01
Cetirizine | Qty:350 | Price:2.5 | Exp:2028-01-01
Chlorpheniramine | Qty:250 | Price:2 | Exp:2027-10-15
Ciprofloxacin | Qty:180 | Price:10 | Exp:2027-09-25
Clopidogrel | Qty:220 | Price:10.5 | Exp:2027-10-10
